date,username,nlikes
2021-04-15 04:33:18+00:00,elonmusk,336477
2021-04-15 04:28:47+00:00,elonmusk,21295
2021-03-18 21:17:16+00:00,elonmusk,49586
2021-03-15 23:11:50+00:00,elonmusk,80394
2021-03-13 23:46:16+00:00,elonmusk,76866
2021-03-13 23:40:41+00:00,elonmusk,176317
2021-03-06 04:40:30+00:00,elonmusk,410314
2021-03-02 21:07:09+00:00,elonmusk,16156
2021-03-01 19:57:08+00:00,elonmusk,284929
2021-02-21 21:27:06+00:00,elonmusk,327169
2021-02-20 08:42:28+00:00,elonmusk,55862
2021-02-14 23:33:22+00:00,elonmusk,6057
2021-02-11 23:27:37+00:00,elonmusk,28834
2021-02-08 05:27:36+00:00,elonmusk,15478
2021-02-07 22:25:14+00:00,elonmusk,787354
2021-02-04 08:27:10+00:00,elonmusk,773930
2021-02-04 07:35:35+00:00,elonmusk,261461
2020-12-20 09:30:04+00:00,elonmusk,222689
2020-11-17 18:45:21+00:00,elonmusk,1025
2020-07-18 00:53:43+00:00,elonmusk,15948
